Frameworks/VideoSubscriberAccount : 160
Frameworks/Virtualization : 9
Frameworks/Vision : 310
Frameworks/WidgetKit : 60
Frameworks/_AuthenticationServices_SwiftUI : 1
Frameworks/_MapKit_SwiftUI : 31
Frameworks/_QuickLook_SwiftUI : 107
Frameworks/_SpriteKit_SwiftUI : 3118
Frameworks/_StoreKit_SwiftUI : 392
Frameworks/vecLib : 34
Frameworks/vmnet : 81
PrivateFrameworks/AACCore : 81
PrivateFrameworks/ACDEClient : 195
PrivateFrameworks/AFKUser : 32
PrivateFrameworks/AGXCompilerCore : 28
PrivateFrameworks/AGXGPURawCounter : 28
PrivateFrameworks/AMPDevices : 32
PrivateFrameworks/AMPSharing : 20
PrivateFrameworks/ANECompiler : 199
PrivateFrameworks/ANEHostCompiler : 199
PrivateFrameworks/ANEServices : 55
PrivateFrameworks/AOSAccounts : 254
PrivateFrameworks/AOSAccountsLite : 254
PrivateFrameworks/AOSKit : 283
PrivateFrameworks/AOSUI : 48
PrivateFrameworks/APTransport : 7
PrivateFrameworks/ASEProcessing : 24
PrivateFrameworks/ASOctaneSupport : 79
PrivateFrameworks/AVConference : 185
PrivateFrameworks/AVFCore : 7
PrivateFrameworks/AVFoundationCF : 155
PrivateFrameworks/AXAssetLoader : 23
PrivateFrameworks/AXCoreUtilities : 23
PrivateFrameworks/AXHearingCoreSupport : 5319
PrivateFrameworks/AXHearingSupport : 5319
PrivateFrameworks/AXMediaUtilities : 569
PrivateFrameworks/AXRuntime : 23
PrivateFrameworks/AccessibilityPerformance : 13
PrivateFrameworks/AccessibilityPlatformTranslation : 77
PrivateFrameworks/AccessibilitySharedSupport : 77
PrivateFrameworks/AccessibilitySupport : 13
PrivateFrameworks/AccessoryNowPlaying : 29
PrivateFrameworks/AccountPolicy : 94
PrivateFrameworks/AccountsDaemon : 56
PrivateFrameworks/ActionKit : 218
PrivateFrameworks/AdCore : 20
PrivateFrameworks/AdID : 20
PrivateFrameworks/AdPlatforms : 20
PrivateFrameworks/AdPlatformsInternal : 20
PrivateFrameworks/AddressBookAutocomplete : 31
PrivateFrameworks/AddressBookCore : 34
PrivateFrameworks/Admin : 9
PrivateFrameworks/AggregateDictionary : 597
PrivateFrameworks/AggregateDictionaryHistory : 597
PrivateFrameworks/AirPlayReceiver : 9
PrivateFrameworks/AirPlaySender : 9
PrivateFrameworks/AirPlaySupport : 7
PrivateFrameworks/AirTrafficHost : 19
PrivateFrameworks/AlgosScoreFramework : 33
PrivateFrameworks/AmbientDisplay : 126
PrivateFrameworks/AnnotationKit : 241
PrivateFrameworks/AppAttestInternal : 106
PrivateFrameworks/AppStoreComponents : 690
PrivateFrameworks/AppStoreDaemon : 80
PrivateFrameworks/AppStoreFoundation : 80
PrivateFrameworks/AppStoreKit : 4
PrivateFrameworks/AppStoreUI : 188
PrivateFrameworks/AppSupport : 1347
PrivateFrameworks/AppSupportUI : 2195
PrivateFrameworks/Apple80211 : 21
PrivateFrameworks/AppleAccount : 167
PrivateFrameworks/AppleAppSupport : 715
PrivateFrameworks/AppleCVA : 197
PrivateFrameworks/AppleFSCompression : 6261
PrivateFrameworks/AppleFirmwareUpdate : 1
PrivateFrameworks/AppleGVA : 6
PrivateFrameworks/AppleGVACore : 6
PrivateFrameworks/AppleHIDTransportSupport : 702
PrivateFrameworks/AppleIDAuthSupport : 1050
PrivateFrameworks/AppleIDSSOAuthentication : 422
PrivateFrameworks/AppleJPEG : 142
PrivateFrameworks/AppleLDAP : 856
PrivateFrameworks/AppleLOM : 28
PrivateFrameworks/AppleMediaServices : 99
PrivateFrameworks/AppleMediaServicesUI : 65
PrivateFrameworks/AppleMediaServicesUIDynamic : 177
PrivateFrameworks/AppleNVMe : 3
PrivateFrameworks/AppleNeuralEngine : 39
PrivateFrameworks/ApplePDPHelper : 11471
PrivateFrameworks/ApplePushService : 54
PrivateFrameworks/AppleSRP : 14352
PrivateFrameworks/AppleSauce : 1811
PrivateFrameworks/AppleScript : 11
PrivateFrameworks/AppleServiceToolkit : 1303
PrivateFrameworks/AppleShareClientCore : 423
PrivateFrameworks/AppleSystemInfo : 18
PrivateFrameworks/AppleVA : 225
PrivateFrameworks/AppleVPA : 172
PrivateFrameworks/AskPermission : 113
PrivateFrameworks/AssertionServices : 189
PrivateFrameworks/AssetCacheServices : 209
PrivateFrameworks/AssetCacheServicesExtensions : 209
PrivateFrameworks/AssetViewer : 69
PrivateFrameworks/AssistantServices : 76
PrivateFrameworks/AssistiveControlSupport : 11
PrivateFrameworks/AttributeGraph : 103
PrivateFrameworks/AudioAnalytics : 549
PrivateFrameworks/AudioDSPManager : 546
PrivateFrameworks/AudioHistory : 546
PrivateFrameworks/AudioPasscode : 453
PrivateFrameworks/AudioResourceArbitration : 22
PrivateFrameworks/AudioServerApplication : 40
PrivateFrameworks/AudioServerDriver : 40
PrivateFrameworks/AudioSession : 67
PrivateFrameworks/AudioToolboxCore : 49
PrivateFrameworks/AudioTransportCommon : 1453
PrivateFrameworks/AuthKit : 10
PrivateFrameworks/AuthKitUI : 10
PrivateFrameworks/AutoBugCaptureCore : 1
PrivateFrameworks/AutoLoop : 3482
PrivateFrameworks/BackBoardServices : 65
PrivateFrameworks/BackgroundTaskManagement : 72
PrivateFrameworks/Backup : 18
PrivateFrameworks/BaseBoard : 44
PrivateFrameworks/BatteryUIKit : 211
PrivateFrameworks/BehaviorMiner : 392
PrivateFrameworks/BezelServices : 815
PrivateFrameworks/BioKitAggD : 12441
PrivateFrameworks/BiomeFoundation : 367
PrivateFrameworks/BiomePubSub : 367
PrivateFrameworks/BiomeStorage : 367
PrivateFrameworks/BiomeStreams : 367
PrivateFrameworks/BiometricKit : 31
PrivateFrameworks/BiometricKitUI : 10
PrivateFrameworks/BiometricSupport : 23
PrivateFrameworks/BlastDoor : 385
PrivateFrameworks/BluetoothManager : 131
PrivateFrameworks/BluetoothServices : 2
PrivateFrameworks/BoardServices : 44
PrivateFrameworks/Bom : 1330
PrivateFrameworks/BookCoverUtility : 93
PrivateFrameworks/BookKit : 93
PrivateFrameworks/BookKitFoundation : 93
PrivateFrameworks/BookUtility : 93
PrivateFrameworks/Bootability : 250
PrivateFrameworks/BridgeOSInstall : 21
