Applications/Google Chrome : 3987.132
Applications/RunCat : 7.1.1
PrivateFrameworks/StorageKit : 1369
PrivateFrameworks/SystemMigration : 28
PrivateFrameworks/SystemMigrationNetworking : 28
PrivateFrameworks/SystemMigrationUtils : 28
PrivateFrameworks/TCC : 169
PrivateFrameworks/TTYUtilities : 4033
PrivateFrameworks/TelephonyUtilities : 5
PrivateFrameworks/VectorKit : 37
PrivateFrameworks/WebContentAnalysis : 446
PrivateFrameworks/WebFilterDNS : 446
PrivateFrameworks/XARTRecovery : 407
PrivateFrameworks/XCTAutomationSupport : 589
PrivateFrameworks/XCTTargetBootstrap : 589
PrivateFrameworks/iWorkXPC : 3305
CoreServices/AddressBookUrlForwarder : 2421.19
CoreServices/Bluetooth Setup Assistant : 7.0.4f5
CoreServices/BluetoothUIServer : 7.0.4f5
CoreServices/Finder : 1298.4.19
CoreServices/Keychain Circle Notification : 59306.101.1
CoreServices/OBEXAgent : 7.0.4f5
Frameworks/GameKit : 779
Frameworks/MessageUI : 49
Frameworks/MobileCoreServices : 8
Frameworks/PassKit : 102
Frameworks/RealityKit : 79
Frameworks/SwiftUI : 33
PrivateFrameworks/Accessibility : 56
PrivateFrameworks/AccessibilityUtilities : 56
PrivateFrameworks/AppAnalytics : 256
PrivateFrameworks/FMNetworking : 115
PrivateFrameworks/HomeKit : 7
PrivateFrameworks/IMAssistantCore : 6
PrivateFrameworks/IMCore : 6
PrivateFrameworks/IMDPersistence : 6
PrivateFrameworks/IMSharedUtilities : 6
PrivateFrameworks/IMTranscoding : 6
PrivateFrameworks/NewsAnalytics : 66
PrivateFrameworks/NewsAnalyticsUpload : 29
PrivateFrameworks/NewsArticles : 66
PrivateFrameworks/NewsCore : 29
PrivateFrameworks/NewsDaemon : 29
PrivateFrameworks/NewsFeed : 66
PrivateFrameworks/NewsFeedLayout : 29
PrivateFrameworks/NewsFoundation : 29
PrivateFrameworks/NewsServicesInternal : 29
PrivateFrameworks/NewsSubscription : 66
PrivateFrameworks/NewsTransport : 29
PrivateFrameworks/NewsUI : 29
PrivateFrameworks/NewsUI2 : 66
PrivateFrameworks/PodcastsUI : 497
PrivateFrameworks/SPShared : 115
PrivateFrameworks/SafariSharedUI : 6
PrivateFrameworks/Silex : 29
PrivateFrameworks/SilexVideo : 29
PrivateFrameworks/SilexWeb : 29
PrivateFrameworks/TeaActivities : 229
PrivateFrameworks/TeaCharts : 229
PrivateFrameworks/TeaDB : 229
PrivateFrameworks/TeaFoundation : 229
PrivateFrameworks/TeaSettings : 229
PrivateFrameworks/TeaTemplate : 229
PrivateFrameworks/TeaUI : 229
PrivateFrameworks/TeaUIKit : 229
PrivateFrameworks/UIAccessibility : 56
PrivateFrameworks/UIKitServices : 7
PrivateFrameworks/VisualAlert : 56
PrivateFrameworks/VoiceMemos : 9
