Applications/Developer : 840.2.2
PrivateFrameworks/AGXCompilerCore : 179
PrivateFrameworks/AGXGPURawCounter : 179
PrivateFrameworks/AMPLibrary : 24
PrivateFrameworks/AMPSharing : 23
PrivateFrameworks/ANECompiler : 1124
PrivateFrameworks/ANEHostCompiler : 1124
PrivateFrameworks/ANEServices : 79
PrivateFrameworks/AOSAccounts : 2016
PrivateFrameworks/AOSAccountsLite : 2016
PrivateFrameworks/AOSKit : 449
PrivateFrameworks/AOSUI : 558
PrivateFrameworks/APFS : 37
PrivateFrameworks/ASEProcessing : 1054
PrivateFrameworks/AVConference : 27
PrivateFrameworks/AVFCapture : 73
PrivateFrameworks/AVFCore : 70
PrivateFrameworks/AVFoundationCF : 77
PrivateFrameworks/AXAssetLoader : 12
PrivateFrameworks/AXHearingCoreSupport : 6002
PrivateFrameworks/AXHearingSupport : 6002
PrivateFrameworks/AXMediaUtilities : 386
PrivateFrameworks/AccessibilityPerformance : 454
PrivateFrameworks/AccessibilityPlatformTranslation : 20
PrivateFrameworks/AccessibilitySharedSupport : 20
PrivateFrameworks/AccessibilitySupport : 454
PrivateFrameworks/AccessoryNowPlaying : 93
PrivateFrameworks/AccountPolicy : 574
PrivateFrameworks/AccountsDaemon : 192
PrivateFrameworks/AccountsUI : 712
PrivateFrameworks/ActionKit : 88
PrivateFrameworks/AdAnalytics : 632
PrivateFrameworks/AdCore : 108
PrivateFrameworks/AdID : 108
PrivateFrameworks/AdPlatforms : 108
PrivateFrameworks/AdPlatformsCommon : 96
PrivateFrameworks/AdPlatformsInternal : 108
PrivateFrameworks/AddressBookAutocomplete : 233
PrivateFrameworks/AddressBookCore : 98
PrivateFrameworks/Admin : 279
PrivateFrameworks/AggregateDictionary : 1196
PrivateFrameworks/AggregateDictionaryHistory : 1196
PrivateFrameworks/AirPlayReceiver : 25
PrivateFrameworks/AirPlaySender : 25
PrivateFrameworks/AirTrafficHost : 60
PrivateFrameworks/AlgosScoreFramework : 319
PrivateFrameworks/AmbientDisplay : 801
PrivateFrameworks/AppAttestInternal : 1143
PrivateFrameworks/AppContainer : 124
PrivateFrameworks/AppSSO : 12
PrivateFrameworks/AppSSOCore : 12
PrivateFrameworks/AppSSOKerberos : 12
PrivateFrameworks/AppSSOUI : 12
PrivateFrameworks/AppSandbox : 124
PrivateFrameworks/AppStoreComponents : 8
PrivateFrameworks/AppStoreKit : 10
PrivateFrameworks/AppSupport : 489
PrivateFrameworks/AppSupportUI : 4608
PrivateFrameworks/Apple80211 : 7
PrivateFrameworks/AppleAccount : 286
PrivateFrameworks/AppleAppSupport : 2019
PrivateFrameworks/AppleCVA : 222
PrivateFrameworks/AppleFSCompression : 11416
PrivateFrameworks/AppleFirmwareUpdate : 58
PrivateFrameworks/AppleGVA : 14
PrivateFrameworks/AppleGVACore : 14
PrivateFrameworks/AppleHIDTransportSupport : 2141
PrivateFrameworks/AppleIDAuthSupport : 3085
PrivateFrameworks/AppleIDSSOAuthentication : 2868
PrivateFrameworks/AppleJPEG : 466
PrivateFrameworks/AppleLDAP : 2902
PrivateFrameworks/AppleLOM : 144
PrivateFrameworks/AppleMediaServices : 8
PrivateFrameworks/AppleMediaServicesUIDynamic : 10
PrivateFrameworks/AppleNVMe : 623
PrivateFrameworks/AppleNeuralEngine : 642
PrivateFrameworks/ApplePDPHelper : 16286
PrivateFrameworks/ApplePushService : 171
PrivateFrameworks/AppleSRP : 14781
PrivateFrameworks/AppleSauce : 2277
PrivateFrameworks/AppleScript : 589
PrivateFrameworks/AppleServiceToolkit : 769
PrivateFrameworks/AppleShareClientCore : 1055
PrivateFrameworks/AppleSystemInfo : 398
PrivateFrameworks/AppleVA : 855
PrivateFrameworks/AppleVPA : 14
PrivateFrameworks/AssertionServices : 62
PrivateFrameworks/AssetCacheServices : 805
PrivateFrameworks/AssetCacheServicesExtensions : 805
PrivateFrameworks/AssetViewer : 494
PrivateFrameworks/AssetsLibraryServices : 12
PrivateFrameworks/AssistantServices : 266
PrivateFrameworks/AssistiveControlSupport : 154
PrivateFrameworks/AttributeGraph : 2263
PrivateFrameworks/AudioAnalytics : 100
PrivateFrameworks/AudioDSPManager : 769
PrivateFrameworks/AudioHistory : 769
PrivateFrameworks/AudioPasscode : 1109
PrivateFrameworks/AudioResourceArbitration : 652
PrivateFrameworks/AudioServerApplication : 365
PrivateFrameworks/AudioServerDriver : 365
PrivateFrameworks/AudioSession : 891
PrivateFrameworks/AudioToolboxCore : 98
PrivateFrameworks/AudioTransportCommon : 3460
PrivateFrameworks/AuthKit : 354
PrivateFrameworks/AuthKitUI : 338
PrivateFrameworks/AutoBugCaptureCore : 2100
PrivateFrameworks/AutoLoop : 5778
PrivateFrameworks/BackgroundTaskManagement : 243
PrivateFrameworks/Backup : 13
PrivateFrameworks/BaseBoard : 1881
PrivateFrameworks/BatteryUIKit : 883
PrivateFrameworks/BehaviorMiner : 991
PrivateFrameworks/BezelServices : 411
PrivateFrameworks/BioKitAggD : 14068
PrivateFrameworks/BiomeFoundation : 44
PrivateFrameworks/BiomePubSub : 44
PrivateFrameworks/BiomeStorage : 44
PrivateFrameworks/BiomeStreams : 44
PrivateFrameworks/BiometricKit : 17
PrivateFrameworks/BiometricSupport : 15
PrivateFrameworks/BlastDoor : 648
PrivateFrameworks/BluetoothManager : 9
PrivateFrameworks/BoardServices : 1881
PrivateFrameworks/Bom : 1217
PrivateFrameworks/Bootability : 256
PrivateFrameworks/BridgeOSInstall : 624
PrivateFrameworks/BridgeOSInstallReporting : 624
PrivateFrameworks/BridgeOSObliteration : 455
PrivateFrameworks/BridgeOSSoftwareUpdate : 3929
PrivateFrameworks/BridgeXPC : 5274
PrivateFrameworks/BulkSymbolication : 1557
PrivateFrameworks/ByteRangeLocking : 4347
PrivateFrameworks/C2 : 1563
PrivateFrameworks/CDDataAccess : 138
PrivateFrameworks/CDDataAccessExpress : 138
PrivateFrameworks/CMCapture : 76
PrivateFrameworks/CMCaptureCore : 73
PrivateFrameworks/CPAnalytics : 12
PrivateFrameworks/CPMLBestShim : 5580
PrivateFrameworks/CPMS : 54
PrivateFrameworks/CVNLP : 850
PrivateFrameworks/CacheDelete : 293
PrivateFrameworks/CalDAV : 872
PrivateFrameworks/Calculate : 699
PrivateFrameworks/CalendarAgent : 518
PrivateFrameworks/CalendarAgentLink : 710
PrivateFrameworks/CalendarDraw : 769
PrivateFrameworks/CalendarFoundation : 126
PrivateFrameworks/CalendarNotification : 314
PrivateFrameworks/CalendarPersistence : 83
PrivateFrameworks/CalendarUI : 385
PrivateFrameworks/CalendarUIKit : 496
PrivateFrameworks/CalendarWidget : 1310
PrivateFrameworks/CallHistory : 8
PrivateFrameworks/CameraImagingFramework : 6551
PrivateFrameworks/CaptiveNetwork : 628
PrivateFrameworks/CardKit : 532
PrivateFrameworks/CardServices : 532
PrivateFrameworks/Cards : 532
PrivateFrameworks/Catalyst : 5030
PrivateFrameworks/Categories : 2024
PrivateFrameworks/CharacterPicker : 423
PrivateFrameworks/ChronoKit : 21
PrivateFrameworks/ChronoServices : 21
PrivateFrameworks/ChronoUIServices : 11
PrivateFrameworks/ChunkingLibrary : 3269
PrivateFrameworks/ClassKit : 42
PrivateFrameworks/ClassKitUI : 42
PrivateFrameworks/ClassroomKit : 112
PrivateFrameworks/ClockMenuExtraPreferences : 705
PrivateFrameworks/CloudDocs : 98
PrivateFrameworks/CloudDocsDaemon : 112
PrivateFrameworks/CloudFamilyRestrictions : 920
PrivateFrameworks/CloudFamilyRestrictionsDaemon : 920
PrivateFrameworks/CloudKitCode : 20
PrivateFrameworks/CloudKitCodeProtobuf : 20
PrivateFrameworks/CloudKitDaemon : 20
PrivateFrameworks/CloudPhotoLibrary : 12
PrivateFrameworks/CloudPhotoServices : 12
PrivateFrameworks/CloudPhotoServicesConfiguration : 12
PrivateFrameworks/CloudServices : 326
PrivateFrameworks/Coherence : 6162
PrivateFrameworks/CombineCocoa : 1869
PrivateFrameworks/CommonAuth : 1104
PrivateFrameworks/CommonUtilities : 14018
PrivateFrameworks/CommunicationsFilter : 5224
PrivateFrameworks/ConditionInducer : 2152
PrivateFrameworks/ConfigProfileHelper : 227
PrivateFrameworks/ConfigurationEngineModel : 1819
PrivateFrameworks/ConfigurationProfiles : 227
PrivateFrameworks/ConfigurationProfilesUI : 89
