CoreServices/AirPlayUIAgent : 377.32
CoreServices/CoreServicesUIAgent : 219
CoreServices/Finder : 1143.4.3
CoreServices/Installer : 934.2
CoreServices/Keychain Circle Notification : 58286.250.72
CoreServices/ManagedClient : 1167
CoreServices/NotificationCenter : 747.5
CoreServices/Paired Devices : 166.31
CoreServices/RapportUIAgent : 166.31
CoreServices/Siri : 146.14.9
CoreServices/Spotlight : 1191.55
CoreServices/UniversalAccessControl : 361.51
CoreServices/VoiceOver : 562.852
CoreServices/WiFiAgent : 1376.3
CoreServices/cloudphotosd : 3441.6.180
CoreServices/loginwindow : 1932.4.6
Frameworks/MessageUI : 3445.104.2
Frameworks/PDFKit : 741.9
PrivateFrameworks/MIME : 3445.104.2
PrivateFrameworks/MessageSupport : 3445.104.2
PrivateFrameworks/NewsCore : 2046.1.1
PrivateFrameworks/NewsFeedLayout : 2046.1.1
PrivateFrameworks/NewsFoundation : 2046.1.1
PrivateFrameworks/NewsServicesInternal : 2046.1.1
PrivateFrameworks/NewsTransport : 2046.1.1
PrivateFrameworks/NewsUI : 2046.1.1
PrivateFrameworks/RemoteConfiguration : 2046.1.1
PrivateFrameworks/Silex : 2046.1.1
PrivateFrameworks/WebCore : 14607.1.30
PrivateFrameworks/WebKitLegacy : 14607.1.30
