Applications/GitHub Desktop : 2.5.6
Applications/Safari : 16610.2.6.1.6
PrivateFrameworks/ACDEClient : 282
PrivateFrameworks/AFKUser : 206
PrivateFrameworks/AGXCompilerCore : 47
PrivateFrameworks/AGXGPURawCounter : 47
PrivateFrameworks/AMPDevices : 23
PrivateFrameworks/AMPLibrary : 25
PrivateFrameworks/ANECompiler : 408
PrivateFrameworks/ANEHostCompiler : 409
PrivateFrameworks/ANEServices : 38
PrivateFrameworks/AOSAccounts : 395
PrivateFrameworks/AOSAccountsLite : 395
PrivateFrameworks/AOSKit : 355
PrivateFrameworks/AOSUI : 24
PrivateFrameworks/APFS : 58
PrivateFrameworks/APTransport : 41
PrivateFrameworks/ASEProcessing : 126
PrivateFrameworks/ASOctaneSupport : 9
PrivateFrameworks/AVConference : 57
PrivateFrameworks/AVFCapture : 103
PrivateFrameworks/AVFCore : 44
PrivateFrameworks/AVFoundationCF : 236
PrivateFrameworks/AXAssetLoader : 1
PrivateFrameworks/AXHearingCoreSupport : 5400
PrivateFrameworks/AXHearingSupport : 5400
PrivateFrameworks/AXMediaUtilities : 998
PrivateFrameworks/AccessibilityBundles : 18
PrivateFrameworks/AccessibilityPerformance : 23
PrivateFrameworks/AccessibilitySupport : 23
PrivateFrameworks/AccessoryNowPlaying : 4
PrivateFrameworks/AccountPolicy : 145
PrivateFrameworks/AccountsDaemon : 36
PrivateFrameworks/AccountsUI : 17
PrivateFrameworks/ActionKit : 48
PrivateFrameworks/AdAnalytics : 62
PrivateFrameworks/AdCore : 15
PrivateFrameworks/AdID : 15
PrivateFrameworks/AdPlatforms : 15
PrivateFrameworks/AdPlatformsCommon : 15
PrivateFrameworks/AdPlatformsInternal : 15
PrivateFrameworks/AddressBookAutocomplete : 19
PrivateFrameworks/AddressBookCore : 40
PrivateFrameworks/Admin : 18
PrivateFrameworks/AggregateDictionary : 687
PrivateFrameworks/AggregateDictionaryHistory : 687
PrivateFrameworks/AirPlayReceiver : 38
PrivateFrameworks/AirPlaySender : 38
PrivateFrameworks/AirPlaySupport : 41
PrivateFrameworks/AirPlaySync : 7
PrivateFrameworks/AirTrafficHost : 31
PrivateFrameworks/AlgosScoreFramework : 97
PrivateFrameworks/AmbientDisplay : 214
PrivateFrameworks/AnnotationKit : 417
PrivateFrameworks/AppAttestInternal : 131
PrivateFrameworks/AppSSO : 23
PrivateFrameworks/AppSSOCore : 23
PrivateFrameworks/AppSSOKerberos : 23
PrivateFrameworks/AppSSOUI : 23
PrivateFrameworks/AppServerSupport : 44
PrivateFrameworks/AppStoreComponents : 915
PrivateFrameworks/AppStoreDaemon : 9
PrivateFrameworks/AppStoreFoundation : 9
PrivateFrameworks/AppStoreKit : 103
PrivateFrameworks/AppStoreUI : 15
