Applications/AltTab : 2.3.4
PrivateFrameworks/AMPDevices : 11
PrivateFrameworks/AOSAccounts : 708
PrivateFrameworks/AOSAccountsLite : 708
PrivateFrameworks/AOSKit : 625
PrivateFrameworks/AOSMigrate : 13568
PrivateFrameworks/AOSUI : 270
PrivateFrameworks/APFS : 21
PrivateFrameworks/APTransport : 22
PrivateFrameworks/AVConference : 82
PrivateFrameworks/AVFoundationCF : 367
PrivateFrameworks/AXHearingCoreSupport : 3959
PrivateFrameworks/AXHearingSupport : 3959
PrivateFrameworks/AXMediaUtilities : 213
PrivateFrameworks/AccessibilityBundles : 33
PrivateFrameworks/AccessibilityPerformance : 102
PrivateFrameworks/AccessibilityPlatformTranslation : 48
PrivateFrameworks/AccessibilitySharedSupport : 48
PrivateFrameworks/AccessibilitySupport : 102
PrivateFrameworks/AccessoryNowPlaying : 16
PrivateFrameworks/AccountPolicy : 2981
PrivateFrameworks/AccountsDaemon : 20
PrivateFrameworks/AccountsUI : 20
PrivateFrameworks/AdAnalytics : 303
PrivateFrameworks/AdCore : 331
PrivateFrameworks/AdID : 331
PrivateFrameworks/AdPlatforms : 331
PrivateFrameworks/AdPlatformsInternal : 331
PrivateFrameworks/Admin : 480
PrivateFrameworks/AggregateDictionary : 640
PrivateFrameworks/AggregateDictionaryHistory : 640
PrivateFrameworks/AirPlayReceiver : 50
PrivateFrameworks/AirPlaySender : 50
PrivateFrameworks/AirPlaySupport : 22
PrivateFrameworks/AirPlaySync : 11
PrivateFrameworks/AirTrafficHost : 692
PrivateFrameworks/AmbientDisplay : 250
PrivateFrameworks/AnnotationKit : 185
PrivateFrameworks/AppContainer : 34
PrivateFrameworks/AppSSO : 138
PrivateFrameworks/AppSSOCore : 138
PrivateFrameworks/AppSSOKerberos : 138
PrivateFrameworks/AppSSOUI : 138
PrivateFrameworks/AppSandbox : 34
PrivateFrameworks/AppServerSupport : 188
PrivateFrameworks/AppStoreKit : 167
PrivateFrameworks/AppStoreUI : 12
PrivateFrameworks/AppSupport : 5062
PrivateFrameworks/AppSupportUI : 6540
PrivateFrameworks/Apple80211 : 169
PrivateFrameworks/AppleAccount : 220
PrivateFrameworks/AppleAppSupport : 8859
PrivateFrameworks/AppleCVA : 275
PrivateFrameworks/AppleFSCompression : 2606
PrivateFrameworks/AppleGVA : 29
PrivateFrameworks/AppleGVACore : 29
PrivateFrameworks/AppleIDAuthSupport : 1348
PrivateFrameworks/AppleIDSSOAuthentication : 219
PrivateFrameworks/AppleJPEG : 1025
PrivateFrameworks/AppleLDAP : 6950
PrivateFrameworks/AppleMediaServices : 92
PrivateFrameworks/AppleMediaServicesUI : 51
PrivateFrameworks/ApplePushService : 277
PrivateFrameworks/AppleSRP : 10550
PrivateFrameworks/AppleSauce : 1377
PrivateFrameworks/AppleScript : 274
PrivateFrameworks/AppleShareClientCore : 2765
PrivateFrameworks/AppleSystemInfo : 983
PrivateFrameworks/AppleVA : 2439
