PrivateFrameworks/Email : 3578.1
PrivateFrameworks/EmailAddressing : 3578.1
PrivateFrameworks/EmailCore : 3578.1
PrivateFrameworks/EmailDaemon : 3578.1
PrivateFrameworks/EmailFoundation : 3578.1
PrivateFrameworks/Espresso : 188.0.1
PrivateFrameworks/ExchangeSync : 115
PrivateFrameworks/FileProvider : 236
PrivateFrameworks/FileProviderDaemon : 236
PrivateFrameworks/FoundInAppsPlugins : 1040
PrivateFrameworks/FrontBoardServices : 614
PrivateFrameworks/GPUInfo : 1.2.25
PrivateFrameworks/GameCenterFoundation : 665
PrivateFrameworks/GameCenterUI : 665
PrivateFrameworks/GameKitServices : 1624
PrivateFrameworks/GeoServices : 1616.20.7.31.1
PrivateFrameworks/Geode : 101.12.160
PrivateFrameworks/HDRProcessing : 1.54.0
PrivateFrameworks/HMFoundation : 556
PrivateFrameworks/HelloWorldMacHelper : 177
PrivateFrameworks/HomeAI : 72
PrivateFrameworks/HomeKit : 617
PrivateFrameworks/HomeKitDaemon : 617
PrivateFrameworks/IASUtilities : 540
PrivateFrameworks/IMAP : 3578.1
PrivateFrameworks/IOAccelerator : 438.1.17
PrivateFrameworks/IconServices : 432
PrivateFrameworks/InputTranscoder : 42
PrivateFrameworks/InternationalSupport : 42
PrivateFrameworks/IntlPreferences : 289
PrivateFrameworks/KnowledgeGraphKit : 101.12.160
PrivateFrameworks/LinguisticData : 333
PrivateFrameworks/LinkPresentation : 119.5
PrivateFrameworks/LocalAuthenticationUI : 693.0.8
PrivateFrameworks/LocationSupport : 2387.0.3
PrivateFrameworks/LoggingSupport : 1147.0.3
PrivateFrameworks/Lookup : 272
PrivateFrameworks/MTLCompiler : 211.45
PrivateFrameworks/MTLSimImplementation : 211.45
PrivateFrameworks/Mail : 3578.1
PrivateFrameworks/MailCore : 3578.1
PrivateFrameworks/MailService : 3578.1
PrivateFrameworks/MailSupport : 3578.1
PrivateFrameworks/MailUI : 3578.1
PrivateFrameworks/MailWebProcessSupport : 3578.1
PrivateFrameworks/ManagedClient : 1248
PrivateFrameworks/MarkupUI : 313
PrivateFrameworks/MediaControlSender : 406.11
PrivateFrameworks/MediaConversionService : 101.12.160
PrivateFrameworks/MediaMiningKit : 101.12.160
PrivateFrameworks/MediaStream : 101.12.160
PrivateFrameworks/MessageUIMacHelper : 3578.1
PrivateFrameworks/MetadataUtilities : 2057.1
PrivateFrameworks/MobileAsset : 619.0.4
PrivateFrameworks/Mondrian : 101.12.160
PrivateFrameworks/Montreal : 120.1
PrivateFrameworks/NLP : 200
PrivateFrameworks/NearField : 300.56
PrivateFrameworks/NeutrinoCore : 101.12.160
