Applications/Discord : 0.0.260
PrivateFrameworks/AOSAccounts : 1846
PrivateFrameworks/AOSAccountsLite : 1846
PrivateFrameworks/AOSKit : 414
PrivateFrameworks/AOSUI : 400
PrivateFrameworks/APFS : 6
PrivateFrameworks/APTransport : 130
PrivateFrameworks/ASEProcessing : 934
PrivateFrameworks/ASOctaneSupport : 6
PrivateFrameworks/AVConference : 174
PrivateFrameworks/AVFCapture : 20
PrivateFrameworks/AVFCore : 38
PrivateFrameworks/AVFoundationCF : 72
PrivateFrameworks/AXHearingCoreSupport : 5963
PrivateFrameworks/AXHearingSupport : 5963
PrivateFrameworks/AccessibilityBundles : 395
PrivateFrameworks/AccessibilityPerformance : 426
PrivateFrameworks/AccessibilityPlatformTranslation : 38
PrivateFrameworks/AccessibilitySharedSupport : 38
PrivateFrameworks/AccessibilitySupport : 426
PrivateFrameworks/AccessoryNowPlaying : 171
PrivateFrameworks/AccountPolicy : 550
PrivateFrameworks/AccountsDaemon : 647
PrivateFrameworks/AccountsUI : 629
PrivateFrameworks/ActionKit : 100
PrivateFrameworks/AdAnalytics : 618
PrivateFrameworks/AdCore : 95
PrivateFrameworks/AdID : 95
PrivateFrameworks/AdPlatforms : 95
PrivateFrameworks/AdPlatformsCommon : 84
PrivateFrameworks/AdPlatformsInternal : 95
PrivateFrameworks/AddressBookAutocomplete : 162
PrivateFrameworks/AddressBookCore : 71
PrivateFrameworks/Admin : 241
PrivateFrameworks/AggregateDictionary : 1173
PrivateFrameworks/AggregateDictionaryHistory : 1173
PrivateFrameworks/AirPlayReceiver : 114
PrivateFrameworks/AirPlaySender : 114
PrivateFrameworks/AirPlaySupport : 130
PrivateFrameworks/AirTrafficHost : 47
PrivateFrameworks/AlgosScoreFramework : 82
PrivateFrameworks/AmbientDisplay : 761
PrivateFrameworks/AnnotationKit : 421
PrivateFrameworks/AppAttestInternal : 1065
PrivateFrameworks/AppContainer : 113
PrivateFrameworks/AppSSO : 117
PrivateFrameworks/AppSSOCore : 117
PrivateFrameworks/AppSSOKerberos : 117
PrivateFrameworks/AppSSOUI : 117
PrivateFrameworks/AppSandbox : 113
PrivateFrameworks/AppServerSupport : 280
PrivateFrameworks/AppStoreComponents : 10
PrivateFrameworks/AppStoreKit : 23
PrivateFrameworks/AppStoreUI : 10
PrivateFrameworks/AppSupport : 441
PrivateFrameworks/AppSupportUI : 4422
PrivateFrameworks/Apple80211 : 9
PrivateFrameworks/AppleAccount : 234
PrivateFrameworks/AppleAppSupport : 1965
PrivateFrameworks/AppleCVA : 211
PrivateFrameworks/AppleFSCompression : 10863
PrivateFrameworks/AppleFirmwareUpdate : 92
PrivateFrameworks/AppleHIDTransportSupport : 2031
PrivateFrameworks/AppleIDAuthSupport : 2914
PrivateFrameworks/AppleIDSSOAuthentication : 2699
PrivateFrameworks/AppleJPEG : 439
PrivateFrameworks/AppleLDAP : 2730
PrivateFrameworks/AppleLOM : 275
PrivateFrameworks/AppleMediaServices : 22
PrivateFrameworks/AppleMediaServicesUIDynamic : 77
PrivateFrameworks/AppleNVMe : 567
PrivateFrameworks/AppleNeuralEngine : 599
PrivateFrameworks/ApplePDPHelper : 15883
PrivateFrameworks/ApplePushService : 132
PrivateFrameworks/AppleSRP : 14743
PrivateFrameworks/AppleSauce : 2234
PrivateFrameworks/AppleScript : 549
PrivateFrameworks/AppleServiceToolkit : 744
PrivateFrameworks/AppleShareClientCore : 1020
PrivateFrameworks/AppleSystemInfo : 362
PrivateFrameworks/AppleVA : 820
PrivateFrameworks/AppleVPA : 325
PrivateFrameworks/AskPermission : 446
PrivateFrameworks/AssertionServices : 28
PrivateFrameworks/AssetCacheServices : 792
PrivateFrameworks/AssetCacheServicesExtensions : 792
PrivateFrameworks/AssetViewer : 482
PrivateFrameworks/AssistantServices : 189
PrivateFrameworks/AssistiveControlSupport : 127
PrivateFrameworks/AttributeGraph : 2106
PrivateFrameworks/AudioAnalytics : 57
PrivateFrameworks/AudioDSPManager : 757
PrivateFrameworks/AudioHistory : 757
PrivateFrameworks/AudioPasscode : 1072
PrivateFrameworks/AudioServerApplication : 320
PrivateFrameworks/AudioServerDriver : 320
PrivateFrameworks/AudioSession : 842
PrivateFrameworks/AudioToolboxCore : 52
PrivateFrameworks/AudioTransportCommon : 3301
PrivateFrameworks/AuthKit : 343
PrivateFrameworks/AuthKitUI : 326
PrivateFrameworks/AutoBugCaptureCore : 2028
PrivateFrameworks/AutoLoop : 5582
PrivateFrameworks/BackBoardServices : 374
PrivateFrameworks/BackgroundTaskManagement : 219
PrivateFrameworks/BaseBoard : 1750
PrivateFrameworks/BatteryUIKit : 846
PrivateFrameworks/BehaviorMiner : 908
PrivateFrameworks/BezelServices : 371
PrivateFrameworks/BioKitAggD : 13937
PrivateFrameworks/BiomeFoundation : 324
PrivateFrameworks/BiomePubSub : 324
PrivateFrameworks/BiomeStorage : 324
PrivateFrameworks/BiomeStreams : 324
PrivateFrameworks/BiometricKit : 154
PrivateFrameworks/BiometricKitUI : 18
PrivateFrameworks/BiometricSupport : 110
PrivateFrameworks/BlastDoor : 626
PrivateFrameworks/BluetoothManager : 11
PrivateFrameworks/BoardServices : 1750
PrivateFrameworks/Bom : 1167
PrivateFrameworks/BookCoverUtility : 189
PrivateFrameworks/BookKit : 189
PrivateFrameworks/BookKitFoundation : 189
PrivateFrameworks/BookUtility : 189
PrivateFrameworks/Bootability : 247
PrivateFrameworks/BridgeOSInstall : 541
PrivateFrameworks/BridgeOSInstallReporting : 541
PrivateFrameworks/BridgeOSObliteration : 370
PrivateFrameworks/BridgeOSSoftwareUpdate : 3814
PrivateFrameworks/BridgeXPC : 5204
PrivateFrameworks/BulkSymbolication : 1501
PrivateFrameworks/ByteRangeLocking : 4311
PrivateFrameworks/C2 : 1519
PrivateFrameworks/CDDataAccess : 126
PrivateFrameworks/CDDataAccessExpress : 126
PrivateFrameworks/CMCapture : 20
PrivateFrameworks/CMCaptureCore : 19
PrivateFrameworks/CPMLBestShim : 5535
PrivateFrameworks/CPMS : 187
PrivateFrameworks/CSCSupport : 25
