PrivateFrameworks/DiskImages : 558
PrivateFrameworks/DiskManagement : 1645
PrivateFrameworks/EasyConfig : 600.11
PrivateFrameworks/Email : 3566.0.1
PrivateFrameworks/EmailAddressing : 3566.0.1
PrivateFrameworks/EmailCore : 3566.0.1
PrivateFrameworks/EmailDaemon : 3566.0.1
PrivateFrameworks/EmailFoundation : 3566.0.1
PrivateFrameworks/Espresso : 183
PrivateFrameworks/FileProvider : 229
PrivateFrameworks/FileProviderDaemon : 229
PrivateFrameworks/FilesActionsUI : 26
PrivateFrameworks/FoundInAppsPlugins : 1020
PrivateFrameworks/FrontBoardServices : 606
PrivateFrameworks/GPUSupport : 17.10.22
PrivateFrameworks/GameCenterFoundation : 656
PrivateFrameworks/GameCenterUI : 656
PrivateFrameworks/GameKitServices : 1610.4.3
PrivateFrameworks/GeoServices : 1598.20.7.2.1
PrivateFrameworks/Geode : 101.11.103
PrivateFrameworks/HDRProcessing : 1.46.0
PrivateFrameworks/HMFoundation : 553
PrivateFrameworks/Helium : 34978.6.42
PrivateFrameworks/HelloWorldMacHelper : 173
PrivateFrameworks/HelpData : 199
PrivateFrameworks/HomeAI : 61
PrivateFrameworks/HomeKit : 601.2
PrivateFrameworks/HomeKitDaemon : 601.2
PrivateFrameworks/IASUtilities : 536.1
PrivateFrameworks/IMAP : 3566.0.1
PrivateFrameworks/IOAccelerator : 438.1.13
PrivateFrameworks/IconServices : 428
PrivateFrameworks/IntlPreferences : 284.1
PrivateFrameworks/KnowledgeGraphKit : 101.11.103
PrivateFrameworks/LinguisticData : 328
PrivateFrameworks/LinkPresentation : 116
PrivateFrameworks/LocalAuthenticationUI : 690
PrivateFrameworks/LocationSupport : 2384
PrivateFrameworks/LoggingSupport : 1142
PrivateFrameworks/MMCS : 471
PrivateFrameworks/MTLCompiler : 211.37
PrivateFrameworks/MTLSimImplementation : 211.37
PrivateFrameworks/Mail : 3566.0.1
PrivateFrameworks/MailCore : 3566.0.1
PrivateFrameworks/MailService : 3566.0.1
PrivateFrameworks/MailSupport : 3566.0.1
PrivateFrameworks/MailUI : 3566.0.1
PrivateFrameworks/MailWebProcessSupport : 3566.0.1
PrivateFrameworks/ManagedClient : 1243
PrivateFrameworks/MarkupUI : 307
PrivateFrameworks/MediaControlSender : 405.13.81
PrivateFrameworks/MediaConversionService : 101.11.103
PrivateFrameworks/MediaMiningKit : 101.11.103
PrivateFrameworks/MediaStream : 101.11.103
PrivateFrameworks/MessageUIMacHelper : 3566.0.1
PrivateFrameworks/MetadataUtilities : 2050.1
PrivateFrameworks/MobileDevice : 1188
PrivateFrameworks/Mondrian : 101.11.103
PrivateFrameworks/Montreal : 118
PrivateFrameworks/MultitouchSupport : 3000.30
PrivateFrameworks/NLP : 195
PrivateFrameworks/NearField : 300.51.1.1.1
PrivateFrameworks/NeutrinoCore : 101.11.103
PrivateFrameworks/NeutrinoKit : 101.11.103
PrivateFrameworks/Notes : 1064
PrivateFrameworks/NotesShared : 1064
PrivateFrameworks/NotesUI : 1064
PrivateFrameworks/NotificationCenterUI : 805.1
PrivateFrameworks/OSInstaller : 1284.4
PrivateFrameworks/OSPersonalization : 70
PrivateFrameworks/PAImaging : 101.11.103
PrivateFrameworks/PAImagingCore : 101.11.103
PrivateFrameworks/PASampling : 240
PrivateFrameworks/PDFKit : 820.4.1
PrivateFrameworks/PackageKit : 968.2
PrivateFrameworks/PerformanceAnalysis : 240
PrivateFrameworks/PersonalizationPortrait : 1020
PrivateFrameworks/PersonalizationPortraitInternals : 1020
PrivateFrameworks/PhotoAnalysis : 101.11.103
PrivateFrameworks/PhotoFoundation : 101.11.103
PrivateFrameworks/PhotoImaging : 101.11.103
PrivateFrameworks/PhotoLibrary : 101.11.103
PrivateFrameworks/PhotoLibraryServices : 101.11.103
PrivateFrameworks/PhotoVision : 101.11.103
PrivateFrameworks/PhotosFormats : 101.11.103
PrivateFrameworks/PhotosGraph : 101.11.103
PrivateFrameworks/PhotosImagingFoundation : 101.11.103
